entrez	degree	betweenness
25822	12	4.8598351277959735e-05
10049	29	0.0007788726518069839
4608	4	4.3530962177900785e-06
8736	9	1.8308192716682668e-05
4756	21	0.0012270028817551071
56288	52	0.0005687545070802643
6261	13	0.00037573128639181805
22981	45	0.001319666555277746
51343	148	0.013554389552061454
2122	15	0.0007276952970847356
25841	16	0.0008910534667985455
9113	67	0.002043794879599725
348094	2	1.8531697424881877e-06
2099	42	0.0015282635193529493
1856	26	0.0009107835035604263
23363	40	0.0014267453868751412
10445	9	5.398026691277118e-05
7341	34	0.0028589148766942395
23012	18	0.0001067296728025132
2316	52	0.0012054813507113929
54550	9	0.00024877137931449817
25959	43	0.003782210740793373
29979	57	0.001186945107350348
767	1	0.0
100423062	16	0.0013984366937431227
3708	16	0.0001667047640944451
7220	14	0.0002806847823413457
7222	14	0.00023176687298545902
7223	11	7.722528120304756e-05
7224	9	3.475568636776934e-08
7225	12	0.00031273107342798874
5592	17	0.003744480223227622
51475	12	0.00020901185946572943
810	27	0.0008496748141130695
158158	11	0.00015064201793831063
3710	20	0.0006216522173420335
5593	10	0.000524712652650062
56998	3	0.0
324	42	0.0013016135165350704
8312	28	0.000760860939054521
6256	32	0.00025562015398417363
367	22	0.0005901644392021983
51176	7	3.257150307041574e-05
3172	16	7.00535275341403e-05
51762	24	0.00012045283108958878
10297	6	3.1334271075340938e-06
2516	4	7.405324099397222e-06
1009	6	0.0
1825	15	5.812033656540928e-05
1004	10	1.541771516206987e-06
1016	8	7.147290703679454e-08
1008	7	0.0
